id,def,age,inc_brac4,inc_brac3,inc_brac2,inc_brac1,income_missing,kin_missing,credit_score_avg,credit_score,credit_score_m,deposit_min_avg,deposit_max_avg,total_deposit,monthly_deposit_avg,min_rec_avg,max_rec_avg,total_rec,monthly_rec_avg,avg_monthly_inc,rec_inc_r,d_inc_r,airtime_min_avg,airtime_max_avg,total_airtime,monthly_airtime_avg,a_inc_r,avg_min_paybill,avg_max_paybill,total_paybill,monthly_paybill_avg,p_inc_r,avg_min_transfered,avg_max_transfered,total_transfered,avg_monthly_transferred,t_inc_r,avg_min_withdrawals,total_withdrawals,avg_withdrawls,w_inc_r,w_dep_r,avg_min_sent,avg_max_sent,avg_monthly_sent,s_inc_r,s_rec_r,monthly_exp_avg,inc-exp,exp-inc,rec_exp_r,d_exp_r,inc_exp_r,t_exp_r,w_exp_r,s_exp_r,p_exp_r,a_exp_r,total_sent
11,1,23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,21,0,0,0,1,0,0,0,0,1,2857.142857,1142.857143,14000,2000,28.57142857,292.8571429,3750,535.7142857,2535.714286,0.211267606,0.788732394,7.142857143,21.42857143,400,57.14285714,0.022535211,59.85714286,98.57142857,1754,250.5714286,0.098816901,0,0,0,0,0,200,3400,485.7142857,0.191549296,0.242857143,7.142857143,399.7142857,1219.142857,0.480788732,0.480788732,2012.571429,523.1428571,-523.1428571,0.266183986,0.993753549,1.259937535,0,0.241340148,0.605763771,0.124503123,0.028392959,35050.35714
13,1,37,0,0,0,0,1,1,10.04,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,47,0,0,0,1,0,0,0,0,1,1785.714286,1635.714286,19450,2778.571429,90,3585.714286,66447,9492.428571,12271,0.773566015,0.226433985,7.285714286,88.28571429,1597,228.1428571,0.018592035,1756.571429,2515.428571,23426,3346.571429,0.272721981,52.85714286,1416.285714,12540,1791.428571,0.145988801,448.5714286,33660,4808.571429,0.391864675,1.73059126,7.142857143,3505,7282,0.593431668,0.593431668,17456.71429,-5185.714286,5185.714286,0.543769487,0.15916921,0.702938697,0.102621177,0.275456844,0.417146084,0.191706834,0.013069061,209357.5
15,1,23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,22,0,0,0,0,1,1,13.6,680,0,571.4285714,57.14285714,400,57.14285714,11.42857143,161.4285714,2137,305.2857143,362.4285714,0.842333465,0.157666535,7.142857143,7.142857143,50,7.142857143,0.019708317,2.142857143,30.71428571,230,32.85714286,0.090658258,10.42857143,14.28571429,248,35.42857143,0.097753252,50,1950,278.5714286,0.768624359,4.875,18.28571429,28.57142857,82.57142857,0.227828143,0.227828143,436.5714286,-74.14285714,74.14285714,0.699280105,0.130890052,0.830170157,0.081151832,0.638089005,0.189136126,0.07526178,0.016361257,2373.928571
19,1,34,0,0,0,0,1,1,15.14,757,0,285.7142857,300,2300,328.5714286,142.8571429,357.1428571,3000,428.5714286,757.1428571,0.566037736,0.433962264,2.857142857,4.285714286,120,17.14285714,0.022641509,0,0,0,0,0,414.2857143,414.2857143,2900,414.2857143,0.547169811,0,0,0,0,0,0.714285714,14.28571429,212.7142857,0.280943396,0.280943396,644.1428571,113,-113,0.665335995,0.510090929,1.175426924,0.643158128,0,0.330228432,0,0.02661344,6115.535714
20,1,31,0,0,0,0,1,1,14.54,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,24,0,0,0,0,1,1,14.54,727,0,428.5714286,2214.285714,18200,2600,61,8157.142857,186783,26683.28571,29283.28571,0.911212149,0.088787851,2.857142857,100.4285714,5327,761,0.025987521,92.85714286,191.4285714,1800,257.1428571,0.008781216,22,129,1970,281.4285714,0.009610553,407.1428571,71850,10264.28571,0.350516872,3.947802198,86.71428571,3556.285714,20572.14286,0.702521673,0.702521673,32136,-2852.714286,2852.714286,0.830323802,0.080906149,0.911229951,0.008757424,0.319401472,0.640158789,0.008001707,0.023680607,591449.1071
24,0,25,0,0,0,0,1,1,15.76,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,23,0,0,0,0,1,1,0,0,0,6714.285714,1625.714286,30800,4400,73.42857143,2657.142857,28694,4099.142857,8499.142857,0.482300736,0.517699264,2.857142857,38.57142857,2597,371,0.043651461,0.285714286,103.8571429,1216,173.7142857,0.020439036,85.71428571,1429,20003,2857.571429,0.336218778,544.2857143,17760,2537.142857,0.298517498,0.576623377,94,2037,4137.285714,0.486788584,0.486788584,10076.71429,-1577.571429,1577.571429,0.406793598,0.436650269,0.843443866,0.283581666,0.251782752,0.410578845,0.017239179,0.036817557,118946.9643
26,1,25,0,0,1,0,0,0,5.96,298,0,371.4285714,145.7142857,4895,699.2857143,20.42857143,78.57142857,1258,179.7142857,879,0.204453112,0.795546888,1.428571429,8.714285714,152,21.71428571,0.024703397,17.14285714,60,540,77.14285714,0.087762067,0.285714286,91.71428571,1488,212.5714286,0.241833252,61.42857143,430,61.42857143,0.069884609,0.08784474,18.14285714,42.57142857,834,0.948805461,0.948805461,1206.857143,-327.8571429,327.8571429,0.148910985,0.579427083,0.728338068,0.176136364,0.050899621,0.691051136,0.063920455,0.017992424,23977.5
27,1,46,0,0,0,0,1,1,15.68,784,0,0,0,0,0,14.28571429,1281.428571,16070,2295.714286,2295.714286,1,0,2.857142857,4.285714286,150,21.42857143,0.009334163,0,0,0,0,0,0,0,0,0,0,185.7142857,2700,385.7142857,0.168014935,0,7.142857143,985.7142857,1475.857143,0.642874922,0.642874922,1883,412.7142857,-412.7142857,1.219179121,0,1.219179121,0,0.2048403,0.783779683,0,0.011380017,42430.89286
28,1,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,27,0,0,0,0,1,1,14.46,723,0,1500,1014.285714,8350,1192.857143,1669.428571,3694.714286,49188,7026.857143,8219.714286,0.854878515,0.145121485,11.71428571,70,1378,196.8571429,0.02394939,424,2417.142857,27268,3895.428571,0.473912892,1344.714286,1344.714286,9413,1344.714286,0.163596232,262.8571429,6110,872.8571429,0.106190691,0.731736527,25.71428571,1528.571429,4875.142857,0.593103688,0.593103688,11185,-2965.285714,2965.285714,0.628239351,0.106647934,0.734887285,0.120224791,0.078038189,0.435864359,0.348272559,0.017600102,140160.3571
30,1,45,0,0,0,0,1,1,5.82,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,25,0,0,0,0,1,1,14.78,739,0,0,0,0,0,135.7142857,414.2857143,3950,564.2857143,564.2857143,1,0,1.428571429,5.714285714,136,19.42857143,0.03443038,0,0,0,0,0,0.714285714,4.285714286,50,7.142857143,0.012658228,128.5714286,2900,414.2857143,0.734177215,0,285.7142857,285.7142857,285.7142857,0.506329114,0.506329114,726.5714286,-162.2857143,162.2857143,0.776641762,0,0.776641762,0.009830908,0.570192686,0.393236335,0,0.026740071,8214.285714
33,0,23,0,0,0,1,0,0,14.04,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285714286,4.285714286,4.285714286,0,0,4.285714286,-4.285714286,4.285714286,0,0,0,0,0,1,0,0,123.2142857
34,1,24,0,0,0,0,1,1,0,0,0,3142.857143,1928.571429,20800,2971.428571,193.5714286,4165.285714,112752,16107.42857,19078.85714,0.844255421,0.155744579,11.42857143,64.57142857,6991,998.7142857,0.052346651,825.1428571,3834.857143,63794,9113.428571,0.477671619,176.7142857,4118.571429,84955,12136.42857,0.636119264,1785.714286,28050,4007.142857,0.21003055,1.348557692,252.1428571,2993.142857,10170.57143,0.533080748,0.533080748,36426.28571,-17347.42857,17347.42857,0.442192451,0.081573746,0.523766197,0.333177768,0.110006902,0.279209676,0.250188247,0.027417407,292403.9286
35,1,29,0,0,0,0,0,0,14.36,718,0,7328.571429,1590,14180,2025.714286,226.2857143,3114.285714,34734,4962,6987.714286,0.710103447,0.289896553,8.714285714,73.14285714,1694,242,0.034632212,16.42857143,16.42857143,115,16.42857143,0.002351065,0,0,0,0,0,1150,8950,1278.571429,0.1829742,0.631170663,556.2857143,2311.142857,3794,0.542952938,0.542952938,5331,1656.714286,-1656.714286,0.930782217,0.379987673,1.31076989,0,0.239837072,0.711686363,0.003081705,0.04539486,109077.5
36,1,28,0,0,0,0,1,1,15.04,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,54,0,0,0,0,1,1,13.58,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,29,0,0,0,1,0,0,0,0,1,285.7142857,3357.142857,106850,15264.28571,1.428571429,9085.714286,199228,28461.14286,43725.42857,0.650905978,0.349094022,2.714285714,17.14285714,322,46,0.001052019,30.71428571,357.1428571,2715,387.8571429,0.008870288,1572.285714,2715.142857,20006,2858,0.065362424,1775.714286,42945,6135,0.140307373,0.401918577,8.142857143,10423.14286,36790.42857,0.841396637,0.841396637,46217.28571,-2491.857143,2491.857143,0.615811647,0.330272223,0.946083871,0.061838335,0.132742542,0.796031788,0.008392036,9.95E-04,1057724.821
39,1,46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,27,0,0,0,0,1,1,14.52,726,0,357.1428571,35.71428571,250,35.71428571,34.28571429,1857.142857,23284,3326.285714,3362,0.989377071,0.010622929,10.71428571,21.42857143,700,100,0.0297442,14.28571429,107.1428571,3100,442.8571429,0.131724314,0,0,0,0,0,52.85714286,16620,2374.285714,0.706212289,66.48,7.857142857,785.7142857,3221.857143,0.958315628,0.958315628,6139,-2777,2777,0.54182859,0.005817606,0.547646196,0,0.386754474,0.524817909,0.072138319,0.016289298,92628.39286
41,1,28,0,0,0,0,1,1,14.7,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,26,0,0,0,0,1,1,14.3,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,31,0,0,0,0,0,0,15,750,0,5285.714286,528.5714286,3700,528.5714286,42.85714286,4285.714286,48217,6888.142857,7416.714286,0.9287324,0.0712676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.8571429,4150,592.8571429,0.079935281,1.121621622,14.28571429,857.1428571,5228.571429,0.704971397,0.704971397,5821.428571,1595.285714,-1595.285714,1.183239264,0.090797546,1.27403681,0,0.101840491,0.898159509,0,0,150321.4286
44,0,36,0,0,0,0,1,1,16.72,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,27,0,0,0,1,0,0,0,0,1,428.5714286,1385.714286,25360,3622.857143,8.571428571,8157.142857,153511,21930.14286,25553,0.858221847,0.141778153,26,98.14285714,1788,255.4285714,0.009996031,222.8571429,402.8571429,7690,1098.571429,0.042991877,7.142857143,1000,14000,2000,0.078268696,505.7142857,60040,8577.142857,0.335660895,2.367507886,11.14285714,4452.428571,10418.57143,0.407724002,0.407724002,22349.71429,3203.285714,-3203.285714,0.981226989,0.162098589,1.143325578,0.089486603,0.383769687,0.46616128,0.049153712,0.011428718,299533.9286
47,0,39,0,0,0,0,1,1,6.26,313,0,4571.428571,4285.714286,37400,5342.857143,14.28571429,714.2857143,10600,1514.285714,6857.142857,0.220833333,0.779166667,7.142857143,28.57142857,450,64.28571429,0.009375,7.142857143,571.4285714,7812,1116,0.16275,0,0,0,0,0,421.4285714,6750,964.2857143,0.140625,0.180481283,21.42857143,1428.571429,5307.142857,0.773958333,0.773958333,7451.714286,-594.5714286,594.5714286,0.203213067,0.716997048,0.920210115,0,0.129404547,0.712204287,0.149764196,0.00862697,152580.3571
48,0,32,1,0,0,0,0,0,0,0,1,6428.571429,714.2857143,5500,785.7142857,440,13000,202580,28940,29725.71429,0.973567859,0.026432141,4,50.28571429,1949,278.4285714,0.00936659,89.42857143,2671.428571,34751,4964.428571,0.167007882,3614.285714,7881.428571,63370,9052.857143,0.304546328,3396.428571,89775,12825,0.431444637,16.32272727,25.71428571,6300.857143,16218,0.545588235,0.545588235,43338.71429,-13613,13613,0.667763234,0.018129617,0.685892851,0.208886149,0.295924792,0.37421507,0.114549512,0.006424477,466267.5
49,1,31,0,0,0,0,1,1,14.36,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,27,0,0,0,0,1,1,10.64,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,44,0,0,0,0,1,1,15.56,778,0,71.42857143,28.57142857,300,42.85714286,71.42857143,92.85714286,1650,235.7142857,278.5714286,0.846153846,0.153846154,0.857142857,7.142857143,429,61.28571429,0.22,0,0,0,0,0,1.428571429,428.5714286,7680,1097.142857,3.938461538,78.57142857,4450,635.7142857,2.282051282,14.83333333,2.857142857,146.4285714,479.7142857,1.722051282,1.722051282,2273.857143,-1995.285714,1995.285714,0.103662751,0.018847773,0.122510523,0.482502984,0.279575297,0.210969404,0,0.026952315,13791.78571
52,0,27,0,0,0,0,1,1,15.72,786,0,142.8571429,428.5714286,4021,574.4285714,38.57142857,307.1428571,4370,624.2857143,1198.714286,0.520796091,0.479203909,6.714285714,24.28571429,840,120,0.100107258,48.57142857,62.85714286,560,80,0.066738172,1.857142857,1.857142857,13,1.857142857,0.001549279,42.85714286,450,64.28571429,0.053628888,0.11191246,16.14285714,311.4285714,989.5714286,0.825527351,0.825527351,1255.714286,-57,57,0.497155859,0.45745165,0.954607509,0.001478953,0.051194539,0.788054608,0.06370876,0.09556314,28450.17857
53,1,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,27,0,0,0,0,1,1,5.98,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,33,0,0,0,0,1,1,13.06,653,0,364.2857143,1800,32910,4701.428571,102.8571429,1357.142857,18390,2627.142857,7328.571429,0.358479532,0.641520468,11.42857143,22.85714286,470,67.14285714,0.009161793,47.14285714,90,1330,190,0.025925926,28.57142857,28.57142857,200,28.57142857,0.003898635,71.42857143,1750,250,0.03411306,0.053175327,3,1478.571429,5195.428571,0.708927875,0.708927875,5731.142857,1597.428571,-1597.428571,0.458397727,0.820330026,1.278727753,0.004985293,0.043621317,0.906525749,0.033152201,0.011715439,149368.5714
57,1,49,0,0,0,1,0,0,13.74,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,24,0,0,0,0,1,1,0,0,0,171.4285714,1152.857143,10120,1445.714286,28.57142857,21000,423934,60562,62007.71429,0.976684929,0.023315071,10.71428571,357.1428571,6753,964.7142857,0.015557972,75.85714286,4478.571429,80246,11463.71429,0.184875615,6.857142857,6.857142857,48,6.857142857,1.11E-04,1521.428571,194370,27767.14286,0.447801426,19.20652174,28.57142857,6697,18429.85714,0.297218779,0.297218779,58632.28571,3375.428571,-3375.428571,1.032912145,0.024657307,1.057569452,1.17E-04,0.473581108,0.314329502,0.195518802,0.016453636,529858.3929
59,0,27,0,0,0,0,1,1,14.18,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,22,0,0,0,0,1,1,14.14,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,30,0,0,0,0,1,1,11.64,582,0,107.1428571,714.2857143,6075,867.8571429,142.8571429,1428.571429,30370,4338.571429,5206.428571,0.833310468,0.166689532,15.28571429,28.57142857,2407,343.8571429,0.066044725,125,886.7142857,9017,1288.142857,0.247413911,32.28571429,285.7142857,4026,575.1428571,0.110467828,285842.8571,16555,2365,0.454246124,2.725102881,15.71428571,714.2857143,2545.714286,0.488955961,0.488955961,7117.857143,-1911.428571,1911.428571,0.609533367,0.121926744,0.73146011,0.08080281,0.33226292,0.357651781,0.180973407,0.048309082,73189.28571
62,0,28,0,0,0,0,1,1,15,750,0,1200,2300,20060,2865.714286,204.2857143,35032.42857,619941,88563,91428.71429,0.968656299,0.031343701,42.14285714,130,3425,489.2857143,0.005351554,297.8571429,3669.714286,27555,3936.428571,0.04305462,5456,13212.85714,113102,16157.42857,0.176721599,491.4285714,156240,22320,0.244124619,7.788634098,69.57142857,27400,62327.42857,0.681705185,0.681705185,105230.5714,-13801.85714,13801.85714,0.841609038,0.027232716,0.868841754,0.153543104,0.212105662,0.592293929,0.037407652,0.004649654,1791913.571
63,0,26,0,0,0,1,0,0,0,0,1,15000,1500,10500,1500,7.142857143,1142.857143,10612,1516,3016,0.50265252,0.49734748,1.857142857,7.142857143,120,17.14285714,0.005683971,0,0,0,0,0,0,0,0,0,0,71.42857143,2270,324.2857143,0.107521789,0.216190476,1478.571429,1478.571429,1478.571429,0.490242516,0.490242516,1820,1196,-1196,0.832967033,0.824175824,1.657142857,0,0.178178964,0.812401884,0,0.009419152,42508.92857
64,0,22,0,0,0,1,0,0,0,0,1,257.1428571,90,680,97.14285714,178.2857143,11121.14286,184470,26352.85714,26450,0.996327302,0.003672698,5.142857143,148.5714286,7451,1064.428571,0.040243046,149.5714286,447.4285714,3170,452.8571429,0.017121253,358.5714286,658.5714286,6800,971.4285714,0.036726978,1188.571429,83510,11930,0.451039698,122.8088235,18.28571429,3200,5232.714286,0.197834188,0.197834188,19651.42857,6798.571429,-6798.571429,1.34101483,0.004943297,1.345958127,0.049432975,0.607080547,0.266276534,0.02304449,0.054165455,150440.5357
65,0,27,0,0,0,1,0,0,0,0,1,142.8571429,542.8571429,14137,2019.571429,7.142857143,104.2857143,1280,182.8571429,2202.428571,0.083025232,0.916974768,1.142857143,7.142857143,213,30.42857143,0.013815917,250,542.8571429,5550,792.8571429,0.359992216,0,0,0,0,0,371.4285714,4700,671.4285714,0.304858273,0.332460918,1.428571429,285.7142857,895.1428571,0.406434455,0.406434455,2389.857143,-187.4285714,187.4285714,0.076513838,0.845059478,0.921573316,0,0.28094925,0.374559149,0.331759221,0.012732381,25735.35714
66,1,30,0,0,0,0,1,1,14.86,743,0,0,0,0,0,137.1428571,137.1428571,960,137.1428571,137.1428571,1,0,2.857142857,7.142857143,190,27.14285714,0.197916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.7142857,146.7142857,440.1428571,3.209375,3.209375,467.2857143,-330.1428571,330.1428571,0.29348823,0,0.29348823,0,0,0.941913788,0,0.058086212,12654.10714
67,1,44,0,0,0,0,1,1,15.08,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,32,0,0,0,0,0,0,0,0,1,857.1428571,85.71428571,600,85.71428571,157.1428571,157.1428571,1100,157.1428571,242.8571429,0.647058824,0.352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.14285714,470,67.14285714,0.276470588,0.783333333,82.28571429,82.28571429,82.28571429,0.338823529,0.338823529,149.4285714,93.42857143,-93.42857143,1.051625239,0.573613767,1.625239006,0,0.449330784,0.550669216,0,0,2365.714286
